,county,year,fema_aid,fema_assessed_damage
0,Ascension Parish,2005,7578345.85,1492477.91
1,East Baton Rouge Parish,2005,29068298.68,5227323.12
2,East Feliciana Parish,2005,2623279.08,938073.3700000001
3,Iberville Parish,2005,4415251.93,1115039.52
4,Jefferson Parish,2005,948634673.54,916259523.25
5,Livingston Parish,2005,14428338.2,3006720.7
6,Orleans Parish,2005,2421859725.91,3597790917.11
7,Plaquemines Parish,2005,112978328.08,428788600.68
8,Pointe Coupee Parish,2005,1480517.64,463331.73
9,St. Bernard Parish,2005,318954425.62,1480345193.03
10,St. Charles Parish,2005,28776684.9,6179657.08
11,St. Helena Parish,2005,3072372.59,373159.02
12,St. James Parish,2005,6237196.13,1234607.18
13,St. John the Baptist Parish,2005,19898538.96,4932419.94
14,St. Tammany Parish,2005,354172769.68,409478740.31
15,Tangipahoa Parish,2005,47172463.89,8008467.37
16,Washington Parish,2005,37093112.79,8846941.7
17,West Baton Rouge Parish,2005,1302913.85,665491.19
18,West Feliciana Parish,2005,469577.48,142215.44
