County,Occupied,Vacant
Acadia Parish,22029,2811
Allen Parish,7851,1633
Ascension Parish,45866,3824
Assumption Parish,8409,1526
Avoyelles Parish,15181,2945
Beauregard Parish,13797,1974
Bienville Parish,5459,1357
Bossier Parish,50092,5145
Caddo Parish,99029,13294
Calcasieu Parish,83865,9367
Caldwell Parish,3752,831
Cameron Parish,2121,2054
Catahoula Parish,3505,907
Claiborne Parish,5498,1277
Concordia Parish,7225,1739
De Soto Parish,10689,1666
East Baton Rouge Parish,181478,22881
East Carroll Parish,2375,416
East Feliciana Parish,6886,1177
Evangeline Parish,12728,1688
Franklin Parish,7727,1156
Grant Parish,7823,1148
Iberia Parish,27016,3908
Iberville Parish,11208,1990
Jackson Parish,6064,1118
Jefferson Davis Parish,12197,1739
Jefferson Parish,178028,15850
LaSalle Parish,5140,1011
Lafayette Parish,97428,10494
Lafourche Parish,37179,3754
Lincoln Parish,18075,2295
Livingston Parish,52581,4899
Madison Parish,3732,625
Morehouse Parish,10302,1561
Natchitoches Parish,15213,3300
Orleans Parish,165125,28715
Ouachita Parish,62654,7374
Plaquemines Parish,8190,1257
Pointe Coupee Parish,8645,2278
Rapides Parish,51268,6667
Red River Parish,3042,525
Richland Parish,7674,954
Sabine Parish,9202,4168
St. Bernard Parish,16223,1419
St. Charles Parish,19187,1258
St. Helena Parish,4380,863
St. James Parish,7692,862
St. John the Baptist Parish,15803,1935
St. Landry Parish,32499,4224
St. Martin Parish,20238,3277
St. Mary Parish,19321,3086
St. Tammany Parish,102005,8365
Tangipahoa Parish,50961,5724
Tensas Parish,1766,1013
Terrebonne Parish,41344,5977
Union Parish,8759,1575
Vermilion Parish,22195,3546
Vernon Parish,18761,3192
Washington Parish,17944,3397
Webster Parish,15684,2552
West Baton Rouge Parish,10338,1158
West Carroll Parish,4084,572
West Feliciana Parish,3897,1139
Winn Parish,5181,1158
